code,name,date,fullName,avgYld,issueDate,maturity,coupon,payPerYr,compPerYr,durT,mdurT,convT
B638BE,P10聯電1B,20210617,聯電 110年度第 1期無擔保普通公司債乙券,0.63,20210422,20280422,0.63,1,1,6.712,6.67,2592.417
B638BF,P10聯電1C,20210422,聯電 110年度第 1期無擔保普通公司債丙券,0.68,20210422,20310422,0.68,1,1,9.7064,9.641,5214.4484
B638BG,P10聯電2,20240129,聯電 110年度第 2期無擔保普通公司債,1.545,20211217,20261217,0.63,1,1,2.8669,2.8234,525.575
B638BH,P12聯電1,20240314,聯電 112年度第 1期無擔保普通公司債,1.6533,20230915,20280915,1.62,1,1,4.3551,4.2846,1157.2769
B638BJ,P14聯電1A,20250903,聯電 114年度第 1期無擔保普通公司債甲券,1.75,20250627,20300627,1.94,1,1,4.634,4.5546,1301.4724
B638BK,P14聯電1B,20250627,聯電 114年度第 1期無擔保普通公司債乙券,1.99,20250627,20300627,1.99,1,1,4.8159,4.7224,1371.5326
B638BL,P14聯電2,20250822,聯華 114年度第 2期無擔保普通公司債,1.8,20250822,20280822,1.8,1,1,2.9514,2.8995,566.6574
B638BM,P14聯電3,20251031,聯華 114年度第 3期無擔保普通公司債,1.7,20251031,20281031,1.7,1,1,2.9541,2.905,568.4759
B64012,P11光罩1A,20220928,光罩 111年度第 1次有擔保普通公司債甲券,1.8,20220928,20270928,1.8,1,1,4.8328,4.7476,1383.0869
B64013,P11光罩1B,20220928,光罩 111年度第 1次有擔保普通公司債乙券,1.8,20220928,20270928,1.8,1,1,4.8328,4.7476,1383.0869
B64016,P12光罩1,20230828,光罩 112年度第 1次有擔保普通公司債,1.62,20230828,20280828,1.62,1,1,4.8489,4.7719,1394.3312
B64017,P12光罩2,20231214,光罩 112年度第 2次有擔保普通公司債,1.7997,20231212,20281212,1.8,1,1,4.8273,4.7424,1380.5439
B64018,P13光罩1,20240826,光罩 113年度第 1次有擔保普通公司債,2.02,20240801,20290801,2.2,1,1,4.7291,4.6359,1342.1711
B64495,P04鴻海4H,20171120,鴻海 104年度第三期無擔保普通公司債辛券,1.4,20150929,20270929,2.0,1,1,9.0449,8.92,4913.1487
B644A3,P04鴻海5H,20151130,鴻海 104年度第 4期無擔保普通公司債辛券,1.95,20151130,20271130,1.95,1,1,10.8401,10.6339,6541.9011
B644AA,P05鴻海1G,20210428,鴻海 105年第 1期無擔保普通公司債庚券,0.5365,20160607,20260607,1.2,1,1,4.9416,4.9153,1547.2611
B644AQ,P06鴻海1E,20170517,鴻海 106年度第 1期無擔保普通公司債戊券,1.53,20170517,20270517,1.53,1,1,9.3614,9.2208,4882.541
B644AX,P06鴻海2G,20220516,鴻海 106年度第 2期無擔保普通公司債庚券,1.76,20170808,20270808,1.52,1,1,5.0142,4.9279,1492.2601
B644B1,P06鴻海3D,20231130,鴻海 106年度第三期無擔保普通公司債丁券,1.775,20171116,20271116,1.4,1,1,3.884,3.8166,911.7235
B644B6,P07鴻海1E,20200805,鴻海 107年度第 1期無擔保普通公司債戊券,0.825,20180509,20280509,1.35,1,1,7.4006,7.34,3280.074
B644BC,P07鴻海2F,20190122,鴻海 107年度第二期無擔保普通公司債己券,1.26,20180727,20280727,1.3,1,1,8.9514,8.84,4555.1682
B644BG,P08鴻海1D,20220118,鴻海 108年度第 1期無擔保普通公司債丁券,0.77,20191022,20261022,0.9,1,1,4.6742,4.6386,1329.2842
B644BH,P08鴻海1E,20191022,鴻海 108年度第 1期無擔保普通公司債戊券,1.1,20191022,20291022,1.1,1,1,9.5326,9.4292,5046.7618
B644BK,P09鴻海1B,20200109,鴻海 108年度第 2期無擔保普通公司債乙券,0.85,20200109,20260109,0.85,1,1,5.879,5.8295,2009.6401
B644BL,P09鴻海1C,20220120,鴻海 108年度第 2期無擔保普通公司債丙券,0.83,20200109,20270109,0.92,1,1,4.8833,4.8432,1432.3216
B644BM,P09鴻海1D,20200415,鴻海 108年度第 2期無擔保普通公司債丁券,1.0,20200109,20300109,1.12,1,1,9.2516,9.16,4864.4439
